name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG
Pat Maroon,ID8474034,MIN,LW,7428,9,1,6,0,17,10,4,6953,475,0,12.7,6.16,1.41,73,114.92999999999999,0.79
Elias Lindholm,ID8477496,CGY,C,11361,9,2,4,3,20,7,1,7874,2016,1471,12.700000000000001,4.02,1.41,73,114.92999999999999,2.07
Chris Tanev,ID8475690,CGY,D,9900,9,0,0,0,13,4,22,7971,59,1870,12.700000000000001,4.62,1.41,73,114.92999999999999,1.49
Emil Bemstrom,ID8480205,CBJ,RW,6586,8,3,0,3,16,2,4,5386,1138,62,11.3,6.18,1.41,73,113.92999999999999,0.91
Casey Mittelstadt,ID8479999,BUF,C,8904,9,2,5,0,12,0,5,7907,961,36,12.7,5.13,1.41,73,114.92999999999999,1.25
Owen Power,ID8482671,BUF,D,12360,9,0,5,0,15,2,12,10121,964,1275,12.7,3.7,1.41,73,114.92999999999999,1.31
Radim Zohorna,ID8482241,PIT,LW,3310,5,2,1,0,11,9,0,3233,77,0,7.0,7.61,1.4,73,109.19999999999999,0.76
Dmitri Voronkov,ID8481716,CBJ,LW,1883,3,1,1,1,1,1,1,1491,392,0,4.2,8.03,1.4,73,106.19999999999999,1.4
Alex Goligoski,ID8471274,MIN,D,2055,2,0,0,0,1,2,5,1826,134,95,2.8,4.91,1.4,73,104.19999999999999,1.25
Darren Raddysh,ID8478178,TBL,D,10486,9,0,5,0,10,6,12,9860,124,502,12.6,4.33,1.4,73,114.19999999999999,1.11
Vincent Trocheck,ID8476389,NYR,C,10240,9,1,3,3,15,15,6,7497,2036,707,12.5,4.39,1.39,73,113.47,1.78
Jordan Kyrou,ID8479385,STL,C,8033,7,1,2,1,23,4,5,6627,1406,0,9.7,4.35,1.39,75,113.24999999999999,2.0
Jake Bean,ID8479402,CBJ,D,9179,9,1,2,0,13,6,13,8619,44,516,12.4,4.86,1.38,73,112.74,1.29
Corey Perry,ID8470621,CHI,RW,8222,9,2,4,0,14,10,4,5916,2306,0,12.4,5.43,1.38,73,112.74,1.07
